timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/04 13:36:37.901, 0 %, 0 %, 35
2026/03/04 13:36:37.904, 0 %, 0 %, 35
2026/03/04 13:36:37.905, 0 %, 0 %, 29
2026/03/04 13:36:37.907, 0 %, 0 %, 31
2026/03/04 13:36:37.908, 0 %, 0 %, 27
2026/03/04 13:36:37.909, 0 %, 0 %, 28
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/04 13:36:47.987, 0 %, 0 %, 41
2026/03/04 13:36:47.990, 0 %, 0 %, 33
2026/03/04 13:36:47.991, 0 %, 0 %, 35
2026/03/04 13:36:47.993, 0 %, 0 %, 35
2026/03/04 13:36:47.995, 0 %, 0 %, 29
2026/03/04 13:36:47.998, 0 %, 0 %, 31
2026/03/04 13:36:48.000, 0 %, 0 %, 27
2026/03/04 13:36:48.003, 0 %, 0 %, 28
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/04 13:36:58.082, 0 %, 0 %, 41
2026/03/04 13:36:58.084, 0 %, 0 %, 33
2026/03/04 13:36:58.085, 0 %, 0 %, 35
2026/03/04 13:36:58.087, 0 %, 0 %, 35
2026/03/04 13:36:58.089, 0 %, 0 %, 29
2026/03/04 13:36:58.091, 0 %, 0 %, 31
2026/03/04 13:36:58.093, 0 %, 0 %, 27
2026/03/04 13:36:58.094, 0 %, 0 %, 28
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/04 13:37:08.171, 0 %, 0 %, 41
2026/03/04 13:37:08.173, 0 %, 0 %, 33
2026/03/04 13:37:08.176, 0 %, 0 %, 35
2026/03/04 13:37:08.177, 0 %, 0 %, 35
2026/03/04 13:37:08.180, 0 %, 0 %, 29
2026/03/04 13:37:08.181, 0 %, 0 %, 31
2026/03/04 13:37:08.184, 0 %, 0 %, 27
2026/03/04 13:37:08.186, 0 %, 0 %, 28
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/04 13:37:18.265, 0 %, 0 %, 41
2026/03/04 13:37:18.267, 0 %, 0 %, 33
2026/03/04 13:37:18.268, 0 %, 0 %, 35
2026/03/04 13:37:18.270, 0 %, 0 %, 35
2026/03/04 13:37:18.273, 0 %, 0 %, 29
